comments,label,text,processed_comments,processed_newstitle,labels
(현재 호텔주인 심정) 아18 난 마른하늘에 날벼락맞고 호텔망하게생겼는데 누군 계속 추모받네....,hate,"""밤새 조문 행렬…故 전미선, 동료들이 그리워하는 따뜻한 배우 [종합]""
",현재 호텔 주인 심정 아18 난 마른 하늘에 날 벼락 맞고 호텔 망하게 생겼는데 누군 계속 추모받네,밤새 조문 행렬 故 전미선 동료들이 그리워하는 따뜻한 배우 종합,2.0
....한국적인 미인의 대표적인 분...너무나 곱고아름다운모습...그모습뒤의 슬픔을 미처 알지못했네요ㅠ,none,"""'연중' 故 전미선, 생전 마지막 미공개 인터뷰…환하게 웃는 모습 '먹먹'[종합]""
",한국적인 미인의 대표적인 분 너무나 곱고 아름다운 모습그 모습 뒤의 슬픔을 미 처 알지 못했네요ㅠ,연중 故 전미선 생전 마지막 미공개 인터뷰 환하게 웃는 모습 먹먹종합,0.0
"...못된 넘들...남의 고통을 즐겼던 넘들..이젠 마땅한 처벌을 받아야지..,그래야, 공정한 사회지...심은대로 거두거라...",hate,"""[단독] 잔나비, 라디오 출연 취소→'한밤' 방송 연기..비판 여론 ing(종합)""
",못된 넘들남의 고통을 즐겼던 넘들이젠 마땅한 처벌을 받아야지 그래야 공정한 사회지심은 대로 거두거라,단독 잔나비 라디오 출연 취소한밤 방송 연기비판 여론 ing종합,2.0
"1,2화 어설펐는데 3,4화 지나서부터는 갈수록 너무 재밌던데",none,"""'아스달 연대기' 장동건-김옥빈, 들끓는 '욕망커플'→눈물범벅 '칼끝 대립'""
",2화 어설 펐는데 4화 지나서부터는 갈수록 너무 재밌던 데,아스달 연대기 장동건김옥빈 들끓는 욕망 커플 눈물범벅 칼끝 대립,0.0
1. 사람 얼굴 손톱으로 긁은것은 인격살해이고2. 동영상이 몰카냐? 메걸리안들 생각이 없노,hate,"[DA:이슈] ‘구하라 비보’ 최종범 항소심에 영향?…법조계 “‘공소권 없음’ 아냐”
",사람 얼굴 손톱으로 긁은 것은 인격 살해이고 동영상이 몰카냐 메걸리안 생각이 없노,da 이슈 구하라 비보 최종 범 항소심에 영향 법조계 공소권 없음 아냐,2.0
10+8 진짜 이승기랑 비교된다,none,"""[공식입장] '1박2일' 측 """"정준영 출연 중단 결정…심각성 고려""""""
",108 진짜 승기랑 비교된다,공식 입장 1박2일 측 정준영 출연 중단 결정 심각성 고려,0.0
"100년안에 남녀간 성전쟁 한번 크게 치룬 후 일부다처제, 여성의 정치참여 금지, 여성 투표권 삭제가 세계의 공통문화로 자리잡을듯. 암탉이 너무 울어댐.",hate,"""배우 마크 월버그, 성차별 논란에 출연료 16억원 전액 기부""
",100년 안에 남녀 간 성 전쟁 한번 크게 치룬 후 일부다처제 여성의 정치 참여 금지 여성 투표권 삭제가 세계의 공통문화로 자리잡을 듯 암탉이 너무 울어댐,배우 마크 월버그 성차별 논란에 출연료 16억원 전액 기부,2.0
10년뒤 윤서인은 분명히 재평가될것임. 말하나하나가 틀린게없음,none,"""[Oh!쎈 초점] """"정우성 공개 저격"""" 윤서인, 이쯤 되면 정우성 안티?""
",10년 뒤 윤서인은 분명히 재평가 될 것임 말 하나가 틀린 게 없음,oh쎈 초점 정우성 공개 저격 윤서인 이쯤 되면 정우성 안티,0.0
10년만에 재미를 느끼는 프로였는데왜 니들때문에 폐지를해야되냐,offensive,"""""""故설리 부재 하에 지속 어려워""""…'악플의밤' 측이 폐지를 결정한 이유 [종합]""
",10년 만에 재미를 느끼는 프로였는데 니들 폐지를 해야 되냐,故 설리 부재 하에 지속 어려워 악플의 밤 측이 폐지를 결정한 유 종합,1.0
10년차방탄팬인데 우리방탄처럼 성공은못하겠지만 일단 방탄의 부하가되고싶다는거니 이름기억은해둠ㅇㅇ,offensive,"""""""'프듀2' 출신 합류"""" 느와르 """"롤모델 방탄소년단""""(종합)""
",10년차 방탄팬인데 방탄처럼 성공은 못하겠지만 방탄의 부하가 되고 싶다는 거니 이름기억은 해둠ㅇㅇ,프듀2 출신 합류 느와 르 롤모델 방탄소년단 종합,1.0
10살 차이가 넘을텐데 부부라고? 무슨 내용인지 긍금하네..,none,"""이지훈, '99억의 여자' 출연…오나라와 부부 호흡[공식]""
",10살 차이가 넘을 텐데 부부라고 내용인지 긍금하네,이지훈 99억의 여자 출연오나라와 부부 호흡공식,0.0
12월이나 1월이더 결혼성수기지 5월은 여름이라 비수기에속한다,none,"""김건모 결혼 내년 5월로 연기…""""보다 많은 분 초청""""""
",12월이나 1월이 더 결혼 성수기 지 5월은 여름이라 비수기에 속한다,김건모 결혼 내년 5월로 연기 보다 많은 분 초청,0.0
13살 차이면 요즘 세상에 놀랄일도 아니네요,none,"""[종합]'두산家 며느리' 조수애, 결혼→1000만원 부케→임신→출산…핫이슈ing""
",13살 차이면 요즘 세상에 놀랄 일도 아니네요,종합두산家 며느리 조수애 결혼1000만원 부케임신출산핫이슈ing,0.0
1400억 뜯기고 얼마나 억울 했을꼬 뒤질만큼 아플만 하지~~~~ㅋㅋㅋㅋ,offensive,"""[룩@차이나] 판빙빙, 급격히 살빠져…대만 의사에 SOS""
",1400억 뜯기고 억울 했을 꼬 뒤질 아플만 하지ㅋㅋㅋㅋ,룩차 이나 판빙빙 급격히 살 빠져대만 의사에 sos,1.0
15년생인 울아들은 유모차 안타는데,none,"""이병헌♥이민정, 4살 아들과 LA 미국 여행 '이병헌…디즈니랜드서 유모차 끌어'""
",15년생인 울아들은 유모차 안타는 데,이병헌 이민정 4살 아들과 la 미국 여행 이병헌 디즈니랜드 서 유모차 끌어,0.0
15살차이면 어릴때사고쳤으면 딸벌인데 ㅋㅋ 능력좋네 전현무 여자들이 전현무스타일이 좋은가봐,offensive,"'연중' 이혜성이 밝힌 ♥전현무의 모든 것 #공개열애 #반전매력 [전일야화]
",15살 차이면 어릴 사고쳤으면 딸 벌인데 ㅋㅋ 능력 좋네 전현무 여자들이 전현 무스타일이 좋은가봐,연중 혜성이 밝힌 전현무의 모든 공개 열애 반전 매력 전일야화,1.0
166에 57.4 다이어트 필요없지만건강위해더뺄거야다들 더마르게봄,none,"""""""90kg 인증""""..몸무게 공개→실검 1위 찍은 女연예인[Oh!쎈 탐구]""
",166에 574 다이어트 필요 없지만 건강 위해 더 뺄거야 다들 더 마르게 봄,90kg 인증 몸무게 공개실검 1위 찍은 女 연예인oh 쎈 탐구,0.0
17년도 아니고 27년이면 진짜 너무했다 이것이 사랑만으로 가능할수 있는지 도저히 납득이 가질 않는다,none,"""[DA:차이나] 이종성, 2번의 이혼 끝에…27세 연하와 세번째 결혼""
",17년도 아니고 27년이면 진짜 너무 했다 이것이 사랑만으로 가능할 수 있는지 도저히 납득이 가질 않는다,da 차이나 종성 2번의 혼 끝에 27세 연하와 세 번째 결혼,0.0
180넘어갈정도의 기럭지는 아님78에서79180넘는애들은 의심.의구심을 안하고안듬그래도 비율좋아 커보이긴함,none,"""“키 182cm, 농구선수 제의”..‘컬투쇼’ 권상우, 바둑빼고 다 잘하네(종합)""
",180 넘어갈 정도의 기럭지는 아님 78에서 79180 넘는 애들은 의심의 구심을 안하고 안 듬 비율 커 보이긴 함,키 182cm 농구선수 제의 컬투쇼 권상우 바둑 빼고 다 잘하네종합,0.0
